worker_id,task_id,task_response_id,Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Category 1,Category 2,Category 3,Severity Rating,Severity Description
YKFXDFCC3WM2,871904a2-c8ea-48d3-9295-77c4ed64a36f,060ef597-32df-416c-96a9-ca56412b5173,turdcutter,turd,"","",other / general insult,bodily fluids / excrement,none,1.6,Strong
XJKGQQWFXKTX,bc7c42c6-bd02-4a18-ae44-f1a4b080f843,505b2de6-445c-40bc-af45-7d83218ff96b,wanking,wank,"","",sexual anatomy / sexual acts,none,none,1,Mild
ZPKZ7DZQ4Y2J,ae4ec2dc-5adf-4b02-86af-fddf2eeed90e,41b7e826-eb0b-40d8-b7e3-a2f561599572,window licker,window licker,"","",mental disability,none,none,1.8,Strong
WZZMK43NG9CA,5b3de932-80a5-426f-b8d3-9abd9bb885dc,d96fdbd7-3070-4137-82c3-aff67990df3c,wnker,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
7G7NZEEGPR4K,3a4ba6f5-c2d3-40be-9708-771438bf1b4b,dec85715-96b4-4236-8dce-23c55ccaa2ba,trashbitch,bitch,trash,"",sexual orientation / gender,other / general insult,none,2,Strong
HWDQZR3ZTFRN,06022f12-79e1-446b-a9f0-e781ecd861b8,25a62f1d-ec25-4056-accd-d5904d008bb0,whores,whore,"","",sexual orientation / gender,none,none,2,Strong
GGXWVNZT3PAC,5506576e-5def-417f-85a1-e9d78b71a299,bdd50b73-bf8f-42c1-b4d1-b2c3a9ed9af8,w4nker,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
3MEG6THYHV69,9d137cfd-df16-4914-bfba-6c58346f3bfd,3355d05d-16fe-4fb9-bc9a-ae3d44a524f2,trasherbitchs,bitch,trash,"",sexual orientation / gender,none,none,1.2,Mild
3MEG6THYHV69,b7dfe7f7-6db9-44f2-be00-ced9f3c3c84e,edad2832-c58b-42a2-9fbc-3f885c9e363f,twatt,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.6,Strong
DQF4H44Q9Y7G,5923f8e4-8354-4206-8519-d665d56f30ac,01ecb23d-c752-4c30-af9d-5a4b2c0f401c,wankbastard,wank,bastard,"",sexual anatomy / sexual acts,none,none,1.8,Strong
PRHKRKYHGDVF,b7196871-3b9a-47a0-a3b0-1f9d74c87894,f7aab128-e476-4fcf-9f8b-7ae0283b5881,wankies,wank,"","",sexual anatomy / sexual acts,none,none,1.6,Strong
9KNVR6X2DWC4,cf35f237-c767-48be-879c-8f1c4871dbc8,7bdbe47a-144a-42ed-8f10-6b3afad7882f,wigger,nigger,"","",racial / ethnic slurs,none,none,2.6,Severe
3796EY394VG3,dea268fc-ec7b-40d3-af23-a13135422def,0e9562ae-74cf-48d0-a802-1a0ef2454cc4,zip in the wire,zipperhead,"","",racial / ethnic slurs,none,none,1.4,Mild
3MMFR6RXMZM2,4398a341-7868-46b0-808b-38e3b924e881,f49a56ff-d7d9-4141-84dc-cd30cb62a954,wank off,wank,"","",sexual anatomy / sexual acts,none,none,1,Mild
AZZDZJGYZWJ3,263c6f1f-8d94-4fea-8ad2-a92a99443b41,dd8635b7-bbdf-47c9-b3d3-5348ef05b34e,whore,whore,"","",sexual orientation / gender,none,none,1.8,Strong
3MEG6THYHV69,b31de909-60ef-424a-9f3b-84db2713c90d,743e1bb4-ea88-4036-9d2f-9ba7c536deb0,whor3,whore,"","",sexual orientation / gender,none,none,1.8,Strong
FDMQXAZTF74K,259697f5-7d55-4467-b98c-3626f1dcf2f5,3ac58f89-1746-4aeb-a79f-b9dd20368813,weenie,weenie,"","",sexual anatomy / sexual acts,none,none,1,Mild
FXEXXAC2PT3N,58af6d64-5ab3-499d-bb2a-9d128f1cc98a,3a5e02f1-d9f8-4776-8b92-6218ba1d0323,tongue fucking,fuck,"","",sexual anatomy / sexual acts,none,none,2.8,Severe
VDCA2EXAVGNA,42f11f66-f34b-4998-82db-d57eb761a59c,241a9774-af50-4fbf-8996-aedf203b3a67,tar-baby,tar-baby,"","",racial / ethnic slurs,none,none,2.6,Severe
H7M6APADMQ6Q,cdb17cc5-e6bf-4025-9a0e-21e19c22d7a8,419c44f5-e377-4f00-877f-624db8f7f66b,tart,tart,"","",mental disability,sexual anatomy / sexual acts,sexual orientation / gender,1.2,Mild
QEZAEMV2WF9D,fc9d1266-e8c8-49aa-a8e2-2fe41334a61b,a5b8dd7a-1a7f-464e-98df-4dae05248cc6,wanks,wank,"","",sexual anatomy / sexual acts,none,none,1,Mild
FWD4Z73KK6F6,2c7069c1-83e2-48f5-bdf5-a75b69eb9695,5739b022-23ee-4c08-a1c2-8812050aad56,wanked,wank,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
R3CDKNC3PH6K,8ac80e6a-ba9d-4026-9776-cfe8fcfc4307,b4506ae3-0d0e-4e3e-8071-430606e6f51a,twat,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong
NPGJHTPAXJQN,22f0b198-3b01-4d15-9e34-e70db5555179,303e3573-313b-44ff-a7da-54d78d6e4672,tard,retard,"","",mental disability,none,none,2.8,Severe
MNTYRY6PYPQF,b6bb63e5-ce44-41c1-a880-077e421da484,f69b342d-8a44-4bb3-a01d-9a2dff6bd239,trousersnake,trousersnake,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
RFY2TXGZTRGG,2aea75dc-8c2d-4a10-90a0-ffa9918d6e76,8137e646-1b8c-4842-bfa9-ae5f40cd4a88,wh0r3,whore,"","",sexual orientation / gender,none,none,2,Strong
F3FCR777FCDY,8397d83a-07a1-4c81-94f3-845e13de3f74,0f12eb10-5d6d-426d-91d6-15ae76bf972e,twink,twink,"","",sexual orientation / gender,none,none,1.2,Mild
N4F97QJYAMTH,c4951f31-121a-40bd-a095-5cef66e4ee0f,0cbd938f-327d-4759-8580-6f27a053ec8c,timber nigger,nigger,"","",racial / ethnic slurs,none,none,3,Severe
7FWVPWN76TG6,9c138f55-748d-47df-ba44-a130c18f8a58,fa498261-ad71-4595-b7e9-a67e25429934,towelhead,towelhead,"","",racial / ethnic slurs,none,none,3,Severe
DMDJ3QQK6JN9,f9fe746b-2269-49be-a600-8b11f2d9527e,807c2455-8a84-422f-bc92-098b4c7a4bb5,tard asses,ass,"","",sexual anatomy / sexual acts,mental disability,none,3,Severe
A44DA67CMF3F,919abd67-db94-4620-9d2f-86d768adfb5a,e4c3a10f-b9cd-4008-a1de-c7433913bb89,twa+,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.2,Mild
7R66DKNPF2JG,d64dfc44-61e9-4cc8-81c6-6b51c45ed63a,cbe2653b-904f-417a-8742-b8db73238d84,swine fucker,fuck,swine,"",sexual anatomy / sexual acts,animal references,none,2.8,Severe
76VNAHQ9VAC3,5183ee59-75f4-46de-baf8-ab68d76ee560,9ffda39f-1672-496a-a24b-37a6a4d74670,tallywacker,tallywacker,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
YKPDD2RHZKMG,b39b923d-1b81-4ed9-9c79-c65e21c6fec9,cde0b0e4-fcb2-44aa-83ff-6cb187c25e96,wise ass,ass,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
9RTHMKDNG4K2,52db280f-7eab-4982-98b0-6c53b734e5fa,a2fa961b-3122-41f1-a3d2-c4f16aa5f62b,vulva,vulva,"","",sexual anatomy / sexual acts,none,none,1,Mild
DXP9KRP4R942,8a374e3c-715f-4970-a952-631402e8d10d,e29bf071-8cf4-4d0e-b77e-cd2227804a49,we1back,wetback,"","",racial / ethnic slurs,none,none,2.6,Severe
7ZGW996YFZ6X,3a1282b3-fc77-4f42-9976-ebf4b74eecc9,3cae90f9-61c7-4708-ac09-c5ace177fb82,w@nker,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1.2,Mild
DK4H9CMZRWET,30932b45-70ea-4f92-b5ac-8dd7c1ffc166,677b2936-8ed5-4058-ae82-2cb95ae24b35,twattish,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.6,Strong
RFY2TXGZTRGG,242db439-2602-48e5-a98c-749cc23c0c6d,dd3d209f-d8f4-4717-b0bb-867027a161d3,wanker,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
ZWJMPXDTKNQD,6d968387-e400-4dc6-9709-04952ff4c944,7749729f-af5a-48a3-8489-14613c0b01a4,tongue fucker,fuck,"","",sexual anatomy / sexual acts,none,none,2.4,Strong
WYYRGVWFY6XA,c2f64be8-cbcd-45a3-b13b-82a43fc7d913,a41be016-7d12-4f01-9a7f-1b421ca7f39f,wang,wang,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
DXP9KRP4R942,bcddde31-38d1-48ba-a45c-686eb85379cc,1416ac3c-4c59-4a34-8876-4d09405e9376,useless fucker,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2.6,Severe
7R66DKNPF2JG,76b30a18-e76d-4596-9b4b-ac8f0713cbb3,923328fe-9da5-47cd-9551-0abb2770f7e1,turdhead,turd,"","",bodily fluids / excrement,none,none,1.6,Strong
EZCVAWE2HAMP,87b0fa5f-89a0-40e6-a0fc-dfbf7d681430,eef2c129-01c8-43f6-bc49-cd8297acb562,tw@t,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong
TRZKH4HK4646,8f9b32c3-e6fd-4d7f-a2d1-e6efb3d1b4b4,cdabd1ee-9f30-44d9-aae5-415d962adca8,twatzilla,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,2,Strong
7FWVPWN76TG6,f7509c9b-85a8-4d47-85b3-34719fb27f64,911e2664-973f-43e2-b966-4d3cc9090976,sum of a bitch,bitch,"","",other / general insult,sexual orientation / gender,none,1.4,Mild
JW992R3C66V9,7540dddf-1189-4deb-b0d8-dc5cc406fa89,954f37c9-a747-46bc-952e-e1b9ba47238f,throater,throater,"","",sexual anatomy / sexual acts,none,none,2.4,Strong
NJVC7EWZEGNF,2d2ec2c4-dcd9-4261-b82c-906fd2e0480b,9f3fb552-e783-45d3-9584-c8134660554a,trouser snake,trouser snake,"","",sexual anatomy / sexual acts,none,none,1,Mild
VME4939DFDXR,35030623-e474-45c6-9c7a-ea90b0cf8402,34919fc8-29de-4994-ac14-b3ea472041ce,weiner,weiner,"","",sexual anatomy / sexual acts,none,none,1,Mild
CAG2KV7YTM69,1c016668-d875-4fb5-b8e7-713f7ec62ebd,6d22b4d8-efcc-4bd3-a7cf-82b6c748c3a6,wophead,wop,"","",racial / ethnic slurs,none,none,2.2,Strong
EZCVAWE2HAMP,459753ca-cddf-4274-a773-8cb71c166f52,2a66e7a1-a6a2-4236-ae4b-e3f14e80171d,suck my dick,dick,"","",sexual anatomy / sexual acts,none,none,2.2,Strong
7FWVPWN76TG6,5582db30-331b-43be-ae57-81915f9f9917,c1974b0c-7674-4f53-bf53-14a633cac1a8,trashbitches,bitch,trash,"",sexual orientation / gender,none,none,1.4,Mild
JM3Z9KRW4NAZ,cdfb42c3-31e0-42fe-bed0-2f0849dff75f,3efbd1e8-ac0c-4305-a860-8747aa7ae827,trashb1tch,bitch,trash,"",sexual orientation / gender,none,none,1.8,Strong
KKGQRZWNCHJK,f8edb02e-1f2c-4336-8780-5999e99441dc,efb66e1d-3fac-448f-9a99-fc2cfa4493c4,twats,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.6,Strong
F7G9FM2Q9CC4,4a15374d-53e8-4b8d-8d57-fd8972cd7b9b,2d08b8b9-1c2d-4eb5-a1c2-d9e5848b809d,w4nk3r,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1.6,Strong
DMH4WEANDDF7,2f36cb69-dc04-4b55-85e7-d1f96230f2bb,8d565166-a4a7-4065-b768-0fe0a1f4a43b,sumbitch,bitch,"","",sexual orientation / gender,none,none,1.6,Strong
N4F97QJYAMTH,097383a7-deac-4fe0-93f9-3944d08ed4a2,9682da23-33a7-4a01-845c-8e1fb089e6f5,wankers,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
7ZGW996YFZ6X,b4e2a2c3-3022-4506-8670-d6f9ab12c993,ee9ada6e-25d0-4483-89e1-2acfba9a8a18,trashbitchez,bitch,trash,"",sexual orientation / gender,none,none,1.2,Mild
9EN7PWYA6G4F,420a7f29-35d6-4b78-9c17-fb67c000b62c,141d227a-8965-4536-8d45-1c26c885d50c,tits,tit,"","",sexual anatomy / sexual acts,none,none,1,Mild
9RTHMKDNG4K2,0ae7fe7e-8065-4e34-84ac-f61ac6f54f64,0542ca6c-5729-4002-abaa-746da9c6fafa,suck off,suck,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
NDQTT6NTQFPN,053d5183-0553-4ce4-9c88-524949069227,21550972-e448-4977-a7d2-c3f35dad9291,towelshithead,towelhead,shit,"",racial / ethnic slurs,none,none,2.6,Severe
RFY2TXGZTRGG,fb60bbc0-61c2-4617-b26f-d3b39b971d2c,15e0ae49-b2f8-4445-8f74-f42af091713a,tickle the pickle,tickle the pickle,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
KKGQRZWNCHJK,6154f256-2e6e-44fa-9ec4-9b78a33b502d,9f01d585-5277-4040-a862-8bc8ad22f84d,wank3rs,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
NFN2M74RPJ2Q,37ba3b9e-bc0f-46e1-b0ad-640d707ad480,904c5432-5630-4ed5-b4f7-1369440ba82b,whoars,whore,"","",sexual orientation / gender,none,none,2,Strong
7EYWM49RWZ63,a3de8d99-d792-43e9-9661-85de5ea1a984,1217e29a-b3e6-46eb-9386-0c49b834bcad,tadger,tadger,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
QWC3DYG3GF9Y,02681a40-2adb-4434-8f11-18fd07eb57db,e3b97500-d437-444f-a090-a98cc6190d9c,tosser,tosser,"","",other / general insult,none,none,1.2,Mild
NPGJHTPAXJQN,9ea2cb70-4292-43d5-ab52-15d26ac106ab,e9ecc4e8-41f3-4ab9-a221-c9bb6a15be3a,what the fuck,fuck,"","",other / general insult,none,none,2.2,Strong
XKEQPPFJWHY9,4daab5e8-2ef8-436a-876f-c7a9b810776b,e9f059bc-8330-4c00-9f19-627052825c73,trashybitches,bitch,"","",sexual orientation / gender,none,none,1.8,Strong
FWD4Z73KK6F6,e47762b5-42e3-43d3-a292-b75383d0fad9,902ab0ff-6f00-4304-b5d4-c6529b140af0,trasherbitch,bitch,trash,"",sexual orientation / gender,other / general insult,none,1.4,Mild
CEHXHWFAVDAD,607397e5-6009-4b45-9a66-012d7a2f2243,cd97c418-46e3-4f78-8a93-b38705df9fe8,taking the piss,taking the piss,"","",bodily fluids / excrement,none,none,1,Mild
KKGQRZWNCHJK,afe1bb56-f241-4d36-a7fd-2e08166adfb8,3cf4642c-e952-4142-a912-c166c9c6a03d,suck my d,dick,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
CAG2KV7YTM69,6e9ef2e4-3ff2-46c9-8109-e79d262db386,79164dfd-2040-4af9-a9e5-66677d031496,wop,wop,"","",racial / ethnic slurs,none,none,2.4,Strong
F3FCR777FCDY,ab3a81a1-9de9-4beb-9bc4-b8f8081bffae,6f58f7ba-34a6-41ec-9aa3-12a864ef472b,transvestite,transvestite,"","",sexual orientation / gender,none,none,2.4,Strong
DXP9KRP4R942,4659b172-4b9a-4492-84ec-a3427c037682,266b8f96-8f12-406b-b106-d5cb9a8d1cf8,towelheads,towelhead,"","",racial / ethnic slurs,none,none,3,Severe
QWC3DYG3GF9Y,8ef2c65e-cd33-43bd-b321-38d49f87fa2a,6b854c35-75ab-4e5d-98a7-429dcfbc4944,whoar,whore,"","",sexual orientation / gender,none,none,1.8,Strong
WYYRGVWFY6XA,b8261ef0-e1c1-4eb4-a956-86a58aab1cb7,ae253df6-f1c9-40f7-b459-c6391498d1a9,swine,swine,"","",animal references,none,none,1,Mild
NJVC7EWZEGNF,a22c40a3-47af-43e8-b39a-f70a3520899b,3377e238-c9d5-496c-8c47-bca7148847a4,shitfuckmotherfucker,motherfucker,shit,fuck,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
MC9FDWZJH4JZ,b3e458fc-7bb9-4c91-98b7-86bece1e903e,b025a43b-7714-432b-baea-6982aa1a1900,skankz,skank,"","",sexual orientation / gender,none,none,1.6,Strong
MNTYRY6PYPQF,3104b445-4c19-42f1-8950-feea620ee41f,f33874db-97b2-4256-b0fd-9b84f922aa78,slit,slit,"","",sexual orientation / gender,none,none,1.6,Strong
QWC3DYG3GF9Y,4b3f38a2-a48d-435e-bc9f-d7f7cb8551b1,a1aa8302-4862-419a-9872-74d87c5a0537,shitfk,shit,fuck,"",sexual anatomy / sexual acts,bodily fluids / excrement,none,1.8,Strong
MC9FDWZJH4JZ,6490d117-e96d-4167-827e-cd5e8dce13f9,8ea1b220-205e-4a3b-9a6a-1bd7a0068668,sphincter,sphincter,"","",sexual anatomy / sexual acts,none,none,1,Mild
MNTYRY6PYPQF,95b10897-8d82-4914-89b2-6bd43c99f162,d5828d65-f22f-4f34-a71a-053610adad63,shitfuck,fuck,shit,"",sexual anatomy / sexual acts,bodily fluids / excrement,none,2.2,Strong
YKPDD2RHZKMG,bcd08acd-8247-4284-9795-bc0219493baf,7a3e74b5-d645-4f75-b990-14a286845f75,spic,spic,"","",racial / ethnic slurs,none,none,3,Severe
PKAFWTW2AW2G,fa330185-799d-4ad8-a866-aef51b6e3b3d,90d8087d-81e6-44f5-a0a2-27683bf74735,shitfvck,shit,fuck,"",sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.2,Strong
9RTHMKDNG4K2,23e10855-1bc2-47b2-8822-996f2a54f334,17ff1374-4243-4a2a-b1c0-6f1a2989f9fc,sonofabitch,bitch,"","",other / general insult,sexual orientation / gender,none,1.4,Mild
JM3Z9KRW4NAZ,4e21e736-e898-4aaf-9267-8a50d7dd3a2f,8de034ca-a4ec-412d-a5b9-4b09734453a7,shitty,shit,"","",bodily fluids / excrement,none,none,1,Mild
TATMTQ3AXJX6,52a1daad-13e3-40b2-a251-fe574779a8d0,a7a80243-bb85-4ebc-ae64-ed193e65024a,son of a bitch,bitch,"","",other / general insult,sexual orientation / gender,none,1.2,Mild
F7G9FM2Q9CC4,fb23a06a-5cbb-4a94-b5db-5fa32657d3ba,9f0b4fae-3801-463c-a846-eb317cf47d63,slanteye,slant eye,"","",racial / ethnic slurs,physical attributes,none,3,Severe
KKGQRZWNCHJK,4fbc4b05-e5e6-45b7-8e94-1f35bf8e23c5,89156306-b99f-4ed0-a362-f2988416164c,sons-of-bitches,bitch,"","",other / general insult,sexual orientation / gender,none,1.4,Mild
R3CDKNC3PH6K,0ed54170-10c1-4380-a187-111182f3ef65,d64b1148-251c-44de-ac4a-54e853153ed6,slanteye b1tch,bitch,slant eye,"",racial / ethnic slurs,sexual orientation / gender,none,2.6,Severe
T3RMAEPRMD6J,124b8442-f979-4c3a-8386-38d96e54f47f,2fe62beb-6cf6-48f9-9105-1979c3c34020,shitheads,shit,"","",bodily fluids / excrement,none,none,1.8,Strong
RFY2TXGZTRGG,abd0174e-fec4-4fde-8faf-2134d2508349,37d16c80-0ae3-44e2-8366-4c48d78f264d,stump chewer,stump chewer,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
MNTYRY6PYPQF,b27e6210-e244-445d-a53a-d42fb5fd413e,4aa5b815-fcea-484e-9548-0b4a74be11f5,slutty,slut,"","",sexual orientation / gender,none,none,1.8,Strong
QQYCQPQK6WFA,89cb2ed3-e382-4d3b-8e79-851eaf79e733,6ff7de6c-0af9-402d-a210-87c526d4a7a4,spix,spic,"","",racial / ethnic slurs,none,none,3,Severe
4TR6J693M9XK,4fec6c0c-b86d-4cec-b2b8-46589f2ecbad,dda352c8-a44e-4e88-994e-ca2ae844cec9,slut,slut,"","",sexual orientation / gender,none,none,2,Strong
7FWVPWN76TG6,f1c68e83-7526-4201-81f0-9f6c12194b1b,5a4326f7-7f0a-4442-914c-c42c13b889a5,shut the fuck up,fuck,"","",other / general insult,none,none,2.2,Strong
QD6PJTFGJ63Q,32b9e1fd-c228-4776-91a7-9847a8a8ee9f,10471d9b-76d7-44c7-989b-f036dfd807ef,spooks,spook,"","",racial / ethnic slurs,none,none,2.6,Severe
NJVC7EWZEGNF,efd1321b-565a-400d-8624-4ed6505f9621,02e2d6dd-55c5-441a-958e-d3b307759b71,shitting,shit,"","",bodily fluids / excrement,none,none,1.4,Mild
QQYCQPQK6WFA,58428a99-c980-4a75-b3bd-ba3b1706b762,317c3b09-1277-4e19-9ff0-98b1a31e57b3,sixty-nine,69,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
KY33NRPCAEZT,587711ad-8dfd-4bd9-8682-03fad62f2462,9a328be7-c98b-4fbb-91ec-c3e9b69a6189,shmale,shemale,"","",sexual orientation / gender,none,none,1.4,Mild
R3CDKNC3PH6K,409d732b-ec82-473a-a58e-d7e98038f3bd,95670b28-783e-4f07-8ad5-9470983c2ff3,shylock,shylock,"","",racial / ethnic slurs,none,none,1.6,Strong
MTCJYTYKKHZJ,101cd968-f15a-4ee8-b7f9-e616f3d70f7d,f362b7af-790b-42e7-9a3f-f0f815297989,slantfreak,slant eye,"","",racial / ethnic slurs,physical attributes,none,2.6,Severe
73FP3QEHRD7V,1496b23e-6b89-4750-91f1-d0a0377c14c3,7768c710-c3d9-4348-b95d-b49df0e9fe06,spik,spic,"","",racial / ethnic slurs,none,none,3,Severe
CJWAHNHJ4M9F,30bf565c-42ae-4dc6-82aa-0ad4d9c66772,60dbc431-41a7-429b-aaa0-bf8342941ed3,soab,bitch,"","",other / general insult,sexual orientation / gender,none,1.6,Strong
JM3Z9KRW4NAZ,de869fcd-84b0-4353-9add-9d13781f11b2,3e95a8fe-ed9b-422d-b2a0-e8b99e0ad530,sonofbitches,bitch,"","",sexual orientation / gender,other / general insult,none,1,Mild
JM3Z9KRW4NAZ,c05cfc1b-1f92-4b66-925b-e5f050450724,32968388-fc63-48a7-bc3e-2761525c575a,sons of bitches,bitch,"","",other / general insult,sexual orientation / gender,none,1.6,Strong
X6P6DQRXD62A,ff8b4656-0681-4f34-9a8c-19adc1683470,e83de24f-a2bd-4901-abd1-7d09eeb2b012,stupid fucker,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2.4,Strong
7ZGW996YFZ6X,59ac5f63-8927-49ac-a9d2-81d80f12a206,2693d8a7-3866-428d-a7ea-c4e28338732b,spicfuck,fuck,spic,"",sexual anatomy / sexual acts,racial / ethnic slurs,none,3,Severe
X6P6DQRXD62A,a5ebb4bb-97ca-41f8-bf0a-97a7c080f537,608bfe9d-8ab7-48da-9292-798591fb66ce,shitsfuck,fuck,shit,"",sexual anatomy / sexual acts,bodily fluids / excrement,none,2.2,Strong
CAG2KV7YTM69,a2cba3ea-557a-4649-9673-5f1a379233b8,8abdb67f-39a2-4ea2-8c64-b2ae8b928164,son-of-a-bitch,bitch,"","",sexual orientation / gender,other / general insult,none,1.2,Mild
